Category,Sentiment,Date,Feedback,User_ID,Platform,Priority
Login Issues,Negative,2025-09-28,Cannot login with Google account,USER_7234,Web,High
App Crashes,Negative,2025-09-25,App crashes when opening large files,USER_5612,iOS,High
Slow Performance,Negative,2025-09-30,App takes forever to load,USER_8901,Android,Medium
Payment Failed,Negative,2025-09-22,Credit card payment keeps declining - very frustrating!,USER_4523,Web,High
UI/UX Problems,Neutral,2025-09-15,Buttons are too small on mobile,USER_3456,Android,Low
Feature Request,Positive,2025-09-18,Please add export to Excel feature - great work!,USER_6789,Web,Medium
Data Sync Issues,Negative,2025-09-20,Changes not syncing across devices - please fix ASAP,USER_2341,Desktop,High
Security Concerns,Negative,2025-09-12,Concerned about data encryption practices,USER_8765,Web,High
Customer Support,Positive,2025-09-29,Support team very responsive and helpful,USER_5432,Web,Low
Notification Problems,Negative,2025-09-27,Not receiving email notifications,USER_1234,iOS,Medium
Search Not Working,Negative,2025-09-24,Search results take 30+ seconds to appear,USER_9876,Web,High
Export Functionality,Neutral,2025-09-21,Need better export options,USER_3456,Desktop,Medium
Mobile App Bug,Negative,2025-09-26,App freezes on startup - critical issue,USER_7890,Android,High
Dark Mode Request,Positive,2025-09-19,Would love dark mode support,USER_4567,iOS,Low
Integration Issues,Negative,2025-09-23,Slack integration completely broken,USER_6543,Web,High
Login Issues,Negative,2025-09-28,Two-factor authentication not working,USER_8901,Web,High
App Crashes,Negative,2025-09-27,Force close when uploading multiple images - major blocker for our team,USER_2345,Android,High
Slow Performance,Negative,2025-09-26,Very slow when scrolling through feed,USER_5678,iOS,Medium
Payment Failed,Negative,2025-09-25,PayPal integration not working,USER_3456,Web,High
Login Issues,Negative,2025-09-24,Login button unresponsive after clicking,USER_7890,Desktop,High
App Crashes,Negative,2025-09-23,Crashes on Android 14 immediately after opening,USER_1234,Android,High
Slow Performance,Negative,2025-09-22,Dashboard loads extremely slowly,USER_4567,Web,Medium
Billing Problems,Negative,2025-09-21,Getting charged twice for same subscription - this is urgent,USER_6789,Web,High
Account Settings,Neutral,2025-09-20,Cannot update profile picture,USER_8901,iOS,Low
Loading Errors,Negative,2025-09-19,Page won't load at all,USER_2345,Web,High
Login Issues,Negative,2025-09-18,Getting 'invalid credentials' error even with correct password,USER_5678,Desktop,High
App Crashes,Negative,2025-09-17,App freezes and crashes when switching between tabs,USER_3456,Android,High
Slow Performance,Negative,2025-09-16,Search results take 30+ seconds to appear,USER_7890,Web,Medium
Payment Failed,Negative,2025-09-15,Payment goes through but subscription not activated,USER_1234,Web,High
Data Sync Issues,Negative,2025-09-14,Lost data after sync conflict - please fix ASAP,USER_4567,Desktop,High
Login Issues,Negative,2025-09-13,Social login (Facebook) keeps failing,USER_6789,Web,High
Notification Problems,Negative,2025-09-12,Push notifications arrive hours late,USER_8901,iOS,Medium
Mobile App Bug,Negative,2025-09-11,App crashes during video playback,USER_2345,Android,High
Slow Performance,Negative,2025-09-10,Image loading is painfully slow,USER_5678,Web,Medium
Login Issues,Negative,2025-09-29,Session expires too quickly, have to login multiple times,USER_3456,iOS,High
App Crashes,Negative,2025-09-28,Constant crashes on iOS 17 - absolutely love it!,USER_7890,iOS,High
Payment Failed,Negative,2025-09-27,Getting charged twice for same subscription,USER_1234,Web,High
UI/UX Problems,Negative,2025-09-26,Confusing navigation structure,USER_4567,Android,Medium
Data Sync Issues,Negative,2025-09-25,Sync takes hours to complete,USER_6789,Desktop,High
Login Issues,Negative,2025-09-24,Password manager not auto-filling login form,USER_8901,Web,Medium
App Crashes,Negative,2025-09-23,Dashboard crashes when loading analytics,USER_2345,Web,High
Slow Performance,Negative,2025-09-22,Switching between screens has noticeable lag,USER_5678,iOS,Medium
Feature Request,Neutral,2025-09-21,Would love to see bulk edit functionality,USER_3456,Web,Medium
Notification Problems,Negative,2025-09-20,Too many spam notifications,USER_7890,Android,Low
Login Issues,Negative,2025-09-19,Login page loads forever on mobile,USER_1234,iOS,High
Payment Failed,Negative,2025-09-18,Cannot add new payment method - very frustrating!,USER_4567,Web,High
Mobile App Bug,Negative,2025-09-17,Crashes when trying to share content,USER_6789,Android,High
Slow Performance,Negative,2025-09-16,File upload speed is very poor,USER_8901,Desktop,Medium
Security Concerns,Negative,2025-09-15,No option for two-factor authentication,USER_2345,Web,High
Login Issues,Negative,2025-09-14,SSO integration broken with our company email,USER_5678,Web,High
App Crashes,Negative,2025-09-30,App crashes when opening large files,USER_3456,Android,High
Data Sync Issues,Negative,2025-09-29,Some files not syncing at all - major blocker for our team,USER_7890,Desktop,High
Slow Performance,Negative,2025-09-28,App becomes sluggish after 10 minutes of use,USER_1234,iOS,Medium
